[epoch:1, iter:97] Loss: 1.706 | Acc: 37.375% 
[epoch:1, iter:98] Loss: 1.703 | Acc: 37.484% 
[epoch:1, iter:99] Loss: 1.700 | Acc: 37.575% 
[epoch:1, iter:100] Loss: 1.697 | Acc: 37.668% 
[epoch:1, iter:101] Loss: 1.695 | Acc: 37.670% 
[epoch:1, iter:102] Loss: 1.693 | Acc: 37.707% 
[epoch:1, iter:103] Loss: 1.690 | Acc: 37.845% 
[epoch:1, iter:104] Loss: 1.687 | Acc: 37.906% 
[epoch:1, iter:105] Loss: 1.687 | Acc: 37.939% 
[epoch:1, iter:106] Loss: 1.685 | Acc: 38.027% 
[epoch:1, iter:107] Loss: 1.681 | Acc: 38.077% 
[epoch:1, iter:108] Loss: 1.679 | Acc: 38.194% 
[epoch:1, iter:109] Loss: 1.676 | Acc: 38.278% 
[epoch:1, iter:110] Loss: 1.673 | Acc: 38.384% 
[epoch:1, iter:111] Loss: 1.670 | Acc: 38.478% 
[epoch:1, iter:112] Loss: 1.667 | Acc: 38.543% 
[epoch:1, iter:113] Loss: 1.666 | Acc: 38.565% 
[epoch:1, iter:114] Loss: 1.664 | Acc: 38.648% 
[epoch:1, iter:115] Loss: 1.663 | Acc: 38.723% 
[epoch:1, iter:116] Loss: 1.662 | Acc: 38.800% 
[epoch:1, iter:117] Loss: 1.660 | Acc: 38.866% 
[epoch:1, iter:118] Loss: 1.657 | Acc: 38.963% 
[epoch:1, iter:119] Loss: 1.655 | Acc: 39.040% 
[epoch:1, iter:120] Loss: 1.653 | Acc: 39.124% 
[epoch:1, iter:121] Loss: 1.652 | Acc: 39.179% 
[epoch:1, iter:122] Loss: 1.649 | Acc: 39.277% 
[epoch:1, iter:123] Loss: 1.648 | Acc: 39.367% 
[epoch:1, iter:124] Loss: 1.646 | Acc: 39.444% 
[epoch:1, iter:125] Loss: 1.644 | Acc: 39.531% 
[epoch:1, iter:126] Loss: 1.643 | Acc: 39.574% 
[epoch:1, iter:127] Loss: 1.641 | Acc: 39.668% 
[epoch:1, iter:128] Loss: 1.640 | Acc: 39.749% 
[epoch:1, iter:129] Loss: 1.638 | Acc: 39.826% 
[epoch:1, iter:130] Loss: 1.636 | Acc: 39.868% 
[epoch:1, iter:131] Loss: 1.635 | Acc: 39.909% 
[epoch:1, iter:132] Loss: 1.632 | Acc: 39.983% 
[epoch:1, iter:133] Loss: 1.630 | Acc: 40.085% 
[epoch:1, iter:134] Loss: 1.627 | Acc: 40.205% 
[epoch:1, iter:135] Loss: 1.625 | Acc: 40.229% 
[epoch:1, iter:136] Loss: 1.623 | Acc: 40.344% 
[epoch:1, iter:137] Loss: 1.622 | Acc: 40.411% 
[epoch:1, iter:138] Loss: 1.620 | Acc: 40.461% 
[epoch:1, iter:139] Loss: 1.619 | Acc: 40.496% 
[epoch:1, iter:140] Loss: 1.617 | Acc: 40.594% 
[epoch:1, iter:141] Loss: 1.615 | Acc: 40.658% 
[epoch:1, iter:142] Loss: 1.613 | Acc: 40.743% 
[epoch:1, iter:143] Loss: 1.611 | Acc: 40.808% 
[epoch:1, iter:144] Loss: 1.609 | Acc: 40.891% 
[epoch:1, iter:145] Loss: 1.606 | Acc: 40.967% 
[epoch:1, iter:146] Loss: 1.604 | Acc: 41.042% 
[epoch:1, iter:147] Loss: 1.602 | Acc: 41.119% 
[epoch:1, iter:148] Loss: 1.600 | Acc: 41.174% 
[epoch:1, iter:149] Loss: 1.597 | Acc: 41.275% 
[epoch:1, iter:150] Loss: 1.596 | Acc: 41.307% 
[epoch:1, iter:151] Loss: 1.594 | Acc: 41.388% 
[epoch:1, iter:152] Loss: 1.593 | Acc: 41.417% 
[epoch:1, iter:153] Loss: 1.591 | Acc: 41.493% 
[epoch:1, iter:154] Loss: 1.589 | Acc: 41.531% 
[epoch:1, iter:155] Loss: 1.587 | Acc: 41.623% 
[epoch:1, iter:156] Loss: 1.585 | Acc: 41.694% 
[epoch:1, iter:157] Loss: 1.583 | Acc: 41.799% 
[epoch:1, iter:158] Loss: 1.581 | Acc: 41.886% 
[epoch:1, iter:159] Loss: 1.578 | Acc: 41.986% 
[epoch:1, iter:160] Loss: 1.576 | Acc: 42.048% 
[epoch:1, iter:161] Loss: 1.575 | Acc: 42.110% 
[epoch:1, iter:162] Loss: 1.573 | Acc: 42.190% 
[epoch:1, iter:163] Loss: 1.572 | Acc: 42.247% 
[epoch:1, iter:164] Loss: 1.571 | Acc: 42.319% 
[epoch:1, iter:165] Loss: 1.570 | Acc: 42.377% 
[epoch:1, iter:166] Loss: 1.568 | Acc: 42.449% 
[epoch:1, iter:167] Loss: 1.567 | Acc: 42.487% 
[epoch:1, iter:168] Loss: 1.566 | Acc: 42.555% 
[epoch:1, iter:169] Loss: 1.564 | Acc: 42.627% 
[epoch:1, iter:170] Loss: 1.562 | Acc: 42.684% 
[epoch:1, iter:171] Loss: 1.560 | Acc: 42.772% 
[epoch:1, iter:172] Loss: 1.558 | Acc: 42.837% 
[epoch:1, iter:173] Loss: 1.556 | Acc: 42.915% 
[epoch:1, iter:174] Loss: 1.555 | Acc: 42.978% 
[epoch:1, iter:175] Loss: 1.553 | Acc: 43.036% 
[epoch:1, iter:176] Loss: 1.552 | Acc: 43.100% 
[epoch:1, iter:177] Loss: 1.550 | Acc: 43.176% 
[epoch:1, iter:178] Loss: 1.547 | Acc: 43.280% 
[epoch:1, iter:179] Loss: 1.546 | Acc: 43.329% 
[epoch:1, iter:180] Loss: 1.544 | Acc: 43.390% 
[epoch:1, iter:181] Loss: 1.542 | Acc: 43.480% 
[epoch:1, iter:182] Loss: 1.541 | Acc: 43.533% 
[epoch:1, iter:183] Loss: 1.540 | Acc: 43.556% 
[epoch:1, iter:184] Loss: 1.538 | Acc: 43.646% 
[epoch:1, iter:185] Loss: 1.536 | Acc: 43.701% 
[epoch:1, iter:186] Loss: 1.536 | Acc: 43.742% 
[epoch:1, iter:187] Loss: 1.534 | Acc: 43.808% 
[epoch:1, iter:188] Loss: 1.532 | Acc: 43.879% 
[epoch:1, iter:189] Loss: 1.529 | Acc: 43.961% 
[epoch:1, iter:190] Loss: 1.528 | Acc: 44.021% 
[epoch:1, iter:191] Loss: 1.526 | Acc: 44.094% 
[epoch:1, iter:192] Loss: 1.525 | Acc: 44.130% 
[epoch:1, iter:193] Loss: 1.524 | Acc: 44.181% 
[epoch:1, iter:194] Loss: 1.523 | Acc: 44.231% 
[epoch:1, iter:195] Loss: 1.521 | Acc: 44.305% 
[epoch:1, iter:196] Loss: 1.520 | Acc: 44.320% 
[epoch:2, iter:197] Loss: 1.222 | Acc: 53.516% 
[epoch:2, iter:198] Loss: 1.176 | Acc: 56.445% 
[epoch:2, iter:199] Loss: 1.222 | Acc: 55.208% 
[epoch:2, iter:200] Loss: 1.265 | Acc: 53.809% 
[epoch:2, iter:201] Loss: 1.247 | Acc: 54.531% 
[epoch:2, iter:202] Loss: 1.241 | Acc: 54.818% 
[epoch:2, iter:203] Loss: 1.233 | Acc: 54.799% 
[epoch:2, iter:204] Loss: 1.232 | Acc: 54.590% 
[epoch:2, iter:205] Loss: 1.225 | Acc: 55.339% 
[epoch:2, iter:206] Loss: 1.232 | Acc: 55.078% 
[epoch:2, iter:207] Loss: 1.217 | Acc: 55.540% 
[epoch:2, iter:208] Loss: 1.209 | Acc: 55.729% 
[epoch:2, iter:209] Loss: 1.211 | Acc: 55.649% 
[epoch:2, iter:210] Loss: 1.214 | Acc: 55.525% 
[epoch:2, iter:211] Loss: 1.208 | Acc: 55.625% 
[epoch:2, iter:212] Loss: 1.210 | Acc: 55.688% 
[epoch:2, iter:213] Loss: 1.209 | Acc: 55.744% 
[epoch:2, iter:214] Loss: 1.205 | Acc: 55.990% 
[epoch:2, iter:215] Loss: 1.206 | Acc: 56.003% 
[epoch:2, iter:216] Loss: 1.204 | Acc: 56.016% 
[epoch:2, iter:217] Loss: 1.202 | Acc: 56.008% 
[epoch:2, iter:218] Loss: 1.204 | Acc: 55.859% 
[epoch:2, iter:219] Loss: 1.201 | Acc: 55.910% 
[epoch:2, iter:220] Loss: 1.197 | Acc: 56.201% 
[epoch:2, iter:221] Loss: 1.198 | Acc: 56.250% 
[epoch:2, iter:222] Loss: 1.200 | Acc: 56.190% 
[epoch:2, iter:223] Loss: 1.200 | Acc: 56.250% 
[epoch:2, iter:224] Loss: 1.198 | Acc: 56.306% 
[epoch:2, iter:225] Loss: 1.197 | Acc: 56.237% 
[epoch:2, iter:226] Loss: 1.200 | Acc: 56.198% 
[epoch:2, iter:227] Loss: 1.199 | Acc: 56.212% 
[epoch:2, iter:228] Loss: 1.198 | Acc: 56.323% 
[epoch:2, iter:229] Loss: 1.191 | Acc: 56.428% 
[epoch:2, iter:230] Loss: 1.194 | Acc: 56.330% 
[epoch:2, iter:231] Loss: 1.194 | Acc: 56.350% 
[epoch:2, iter:232] Loss: 1.194 | Acc: 56.337% 
[epoch:2, iter:233] Loss: 1.190 | Acc: 56.514% 
[epoch:2, iter:234] Loss: 1.187 | Acc: 56.548% 
[epoch:2, iter:235] Loss: 1.184 | Acc: 56.651% 
[epoch:2, iter:236] Loss: 1.184 | Acc: 56.660% 
[epoch:2, iter:237] Loss: 1.186 | Acc: 56.574% 
[epoch:2, iter:238] Loss: 1.183 | Acc: 56.622% 
[epoch:2, iter:239] Loss: 1.184 | Acc: 56.523% 
[epoch:2, iter:240] Loss: 1.184 | Acc: 56.499% 
[epoch:2, iter:241] Loss: 1.181 | Acc: 56.606% 
[epoch:2, iter:242] Loss: 1.181 | Acc: 56.590% 
[epoch:2, iter:243] Loss: 1.178 | Acc: 56.749% 
[epoch:2, iter:244] Loss: 1.178 | Acc: 56.706% 
[epoch:2, iter:245] Loss: 1.180 | Acc: 56.680% 
[epoch:2, iter:246] Loss: 1.178 | Acc: 56.719% 
[epoch:2, iter:247] Loss: 1.177 | Acc: 56.748% 
[epoch:2, iter:248] Loss: 1.174 | Acc: 56.858% 
[epoch:2, iter:249] Loss: 1.178 | Acc: 56.803% 
[epoch:2, iter:250] Loss: 1.176 | Acc: 56.836% 
[epoch:2, iter:251] Loss: 1.174 | Acc: 56.896% 
[epoch:2, iter:252] Loss: 1.175 | Acc: 56.885% 
[epoch:2, iter:253] Loss: 1.173 | Acc: 56.956% 
[epoch:2, iter:254] Loss: 1.171 | Acc: 57.051% 
[epoch:2, iter:255] Loss: 1.171 | Acc: 57.051% 
[epoch:2, iter:256] Loss: 1.168 | Acc: 57.122% 
[epoch:2, iter:257] Loss: 1.168 | Acc: 57.140% 
[epoch:2, iter:258] Loss: 1.167 | Acc: 57.170% 
[epoch:2, iter:259] Loss: 1.165 | Acc: 57.242% 
[epoch:2, iter:260] Loss: 1.165 | Acc: 57.300% 
[epoch:2, iter:261] Loss: 1.163 | Acc: 57.314% 
[epoch:2, iter:262] Loss: 1.162 | Acc: 57.392% 
[epoch:2, iter:263] Loss: 1.158 | Acc: 57.521% 
[epoch:2, iter:264] Loss: 1.156 | Acc: 57.594% 
[epoch:2, iter:265] Loss: 1.156 | Acc: 57.592% 
[epoch:2, iter:266] Loss: 1.154 | Acc: 57.706% 
[epoch:2, iter:267] Loss: 1.153 | Acc: 57.746% 
[epoch:2, iter:268] Loss: 1.153 | Acc: 57.785% 
[epoch:2, iter:269] Loss: 1.151 | Acc: 57.861% 
[epoch:2, iter:270] Loss: 1.149 | Acc: 57.971% 
[epoch:2, iter:271] Loss: 1.147 | Acc: 58.021% 
[epoch:2, iter:272] Loss: 1.144 | Acc: 58.105% 
[epoch:2, iter:273] Loss: 1.144 | Acc: 58.132% 
[epoch:2, iter:274] Loss: 1.142 | Acc: 58.198% 
[epoch:2, iter:275] Loss: 1.140 | Acc: 58.258% 
[epoch:2, iter:276] Loss: 1.139 | Acc: 58.315% 
[epoch:2, iter:277] Loss: 1.137 | Acc: 58.386% 
[epoch:2, iter:278] Loss: 1.135 | Acc: 58.460% 
[epoch:2, iter:279] Loss: 1.134 | Acc: 58.528% 
[epoch:2, iter:280] Loss: 1.133 | Acc: 58.561% 
[epoch:2, iter:281] Loss: 1.131 | Acc: 58.621% 
[epoch:2, iter:282] Loss: 1.131 | Acc: 58.639% 
[epoch:2, iter:283] Loss: 1.131 | Acc: 58.607% 
[epoch:2, iter:284] Loss: 1.129 | Acc: 58.660% 
[epoch:2, iter:285] Loss: 1.127 | Acc: 58.743% 
[epoch:2, iter:286] Loss: 1.125 | Acc: 58.811% 
[epoch:2, iter:287] Loss: 1.124 | Acc: 58.860% 
[epoch:2, iter:288] Loss: 1.124 | Acc: 58.891% 
[epoch:2, iter:289] Loss: 1.123 | Acc: 58.963% 
[epoch:2, iter:290] Loss: 1.122 | Acc: 59.047% 
[epoch:2, iter:291] Loss: 1.121 | Acc: 59.083% 
[epoch:2, iter:292] Loss: 1.121 | Acc: 59.102% 
[epoch:2, iter:293] Loss: 1.120 | Acc: 59.137% 
[epoch:2, iter:294] Loss: 1.119 | Acc: 59.192% 
[epoch:2, iter:295] Loss: 1.120 | Acc: 59.190% 
[epoch:2, iter:296] Loss: 1.119 | Acc: 59.238% 
[epoch:2, iter:297] Loss: 1.119 | Acc: 59.244% 
[epoch:2, iter:298] Loss: 1.117 | Acc: 59.298% 
[epoch:2, iter:299] Loss: 1.116 | Acc: 59.322% 
[epoch:2, iter:300] Loss: 1.115 | Acc: 59.349% 
[epoch:2, iter:301] Loss: 1.114 | Acc: 59.360% 
[epoch:2, iter:302] Loss: 1.113 | Acc: 59.401% 
[epoch:2, iter:303] Loss: 1.112 | Acc: 59.444% 
[epoch:2, iter:304] Loss: 1.110 | Acc: 59.545% 
[epoch:2, iter:305] Loss: 1.109 | Acc: 59.583% 
[epoch:2, iter:306] Loss: 1.108 | Acc: 59.613% 
[epoch:2, iter:307] Loss: 1.108 | Acc: 59.664% 
[epoch:2, iter:308] Loss: 1.107 | Acc: 59.699% 
[epoch:2, iter:309] Loss: 1.106 | Acc: 59.700% 
[epoch:2, iter:310] Loss: 1.105 | Acc: 59.735% 
[epoch:2, iter:311] Loss: 1.103 | Acc: 59.786% 
[epoch:2, iter:312] Loss: 1.103 | Acc: 59.803% 
[epoch:2, iter:313] Loss: 1.102 | Acc: 59.856% 
[epoch:2, iter:314] Loss: 1.101 | Acc: 59.868% 
[epoch:2, iter:315] Loss: 1.102 | Acc: 59.828% 
[epoch:2, iter:316] Loss: 1.102 | Acc: 59.837% 
[epoch:2, iter:317] Loss: 1.100 | Acc: 59.924% 
[epoch:2, iter:318] Loss: 1.099 | Acc: 59.987% 
[epoch:2, iter:319] Loss: 1.098 | Acc: 60.036% 
[epoch:2, iter:320] Loss: 1.097 | Acc: 60.077% 
[epoch:2, iter:321] Loss: 1.096 | Acc: 60.091% 
[epoch:2, iter:322] Loss: 1.095 | Acc: 60.141% 
[epoch:2, iter:323] Loss: 1.094 | Acc: 60.218% 
